,fold_id,model_name,set,accuracy,precision,recall,f1,auc
230,13,GaussianNB,train,0.9116465863453815,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9342658261097978
231,13,GaussianNB,test,0.936,0.8679245283018868,0.9787234042553191,0.9199999999999999,0.9609929078014183
232,14,GaussianNB,train,0.932,0.908256880733945,0.9339622641509434,0.9209302325581395,0.9533215408805031
233,14,GaussianNB,test,0.8951612903225806,0.8461538461538461,0.8979591836734694,0.8712871287128713,0.9038095238095237
234,15,GaussianNB,train,0.9196787148594378,0.8921568627450981,0.91,0.900990099009901,0.9444630872483222
235,15,GaussianNB,test,0.92,0.8813559322033898,0.9454545454545454,0.9122807017543859,0.9232467532467533
236,16,GaussianNB,train,0.9196787148594378,0.8818181818181818,0.9326923076923077,0.9065420560747663,0.9314323607427055
237,16,GaussianNB,test,0.92,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9505829358770536
238,17,GaussianNB,train,0.924,0.8990825688073395,0.9245283018867925,0.9116279069767442,0.9438220649895179
239,17,GaussianNB,test,0.9193548387096774,0.8823529411764706,0.9183673469387755,0.9,0.921904761904762
240,18,GaussianNB,train,0.9076305220883534,0.8813559322033898,0.9203539823008849,0.9004329004329005,0.9360359187922956
241,18,GaussianNB,test,0.944,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.939328743545611
242,19,GaussianNB,train,0.9236947791164659,0.8952380952380953,0.9215686274509803,0.9082125603864734,0.9418100573562759
243,19,GaussianNB,test,0.912,0.875,0.9245283018867925,0.8990825688073395,0.9293763102725368
244,20,GaussianNB,train,0.928,0.8888888888888888,0.9263157894736842,0.9072164948453608,0.9373514431239389
245,20,GaussianNB,test,0.9032258064516129,0.8870967741935484,0.9166666666666666,0.9016393442622951,0.9354166666666667
246,21,GaussianNB,train,0.9156626506024096,0.8785046728971962,0.9215686274509803,0.8995215311004785,0.9329398426037081
247,21,GaussianNB,test,0.928,0.9074074074074074,0.9245283018867925,0.9158878504672898,0.9490303983228512
248,22,GaussianNB,train,0.9196787148594378,0.8899082568807339,0.9238095238095239,0.9065420560747663,0.9464285714285714
249,22,GaussianNB,test,0.904,0.88,0.88,0.88,0.9216
250,23,GaussianNB,train,0.92,0.8952380952380953,0.912621359223301,0.903846153846154,0.9373555247341656
251,23,GaussianNB,test,0.9193548387096774,0.875,0.9423076923076923,0.9074074074074073,0.9376335470085471
252,24,GaussianNB,train,0.9036144578313253,0.8666666666666667,0.900990099009901,0.8834951456310681,0.9231000802782982
