,fold_id,model_name,set,accuracy,precision,recall,f1,auc
1075,27,svc,test,0.888,0.88,0.8461538461538461,0.8627450980392156,0.898709167544784
1076,28,svc,train,0.9156626506024096,0.9081632653061225,0.8811881188118812,0.8944723618090452,0.9397578271340647
1077,28,svc,test,0.936,0.8709677419354839,1.0,0.9310344827586207,0.9718309859154929
1078,29,svc,train,0.924,0.8990825688073395,0.9245283018867925,0.9116279069767442,0.9440513626834381
1079,29,svc,test,0.9354838709677419,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9508843537414966
1080,30,svc,train,0.9477911646586346,0.918918918918919,0.9622641509433962,0.9400921658986175,0.9544794827813695
1081,30,svc,test,0.912,0.9318181818181818,0.8367346938775511,0.8817204301075268,0.93796992481203
1082,31,svc,train,0.9116465863453815,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.9356075763638789
1083,31,svc,test,0.96,0.9285714285714286,0.9811320754716981,0.9541284403669724,0.9664570230607966
1084,32,svc,train,0.932,0.9207920792079208,0.9117647058823529,0.9162561576354681,0.9494236883942765
1085,32,svc,test,0.8951612903225806,0.8333333333333334,0.9433962264150944,0.8849557522123894,0.926654265213925
1086,33,svc,train,0.9357429718875502,0.9333333333333333,0.9158878504672897,0.9245283018867924,0.9434974331973146
1087,33,svc,test,0.944,0.9183673469387755,0.9375,0.9278350515463918,0.9366883116883117
1088,34,svc,train,0.9397590361445783,0.9339622641509434,0.9252336448598131,0.9295774647887324,0.949355008556009
1089,34,svc,test,0.92,0.88,0.9166666666666666,0.8979591836734694,0.9422348484848485
1090,35,svc,train,0.932,0.898989898989899,0.9270833333333334,0.9128205128205129,0.9547145562770564
1091,35,svc,test,0.8951612903225806,0.8709677419354839,0.9152542372881356,0.8925619834710744,0.9288135593220339
1092,36,svc,train,0.927710843373494,0.93,0.8942307692307693,0.911764705882353,0.9449270557029178
1093,36,svc,test,0.92,0.847457627118644,0.9803921568627451,0.909090909090909,0.9553524112347641
1094,37,svc,train,0.9518072289156626,0.9238095238095239,0.9603960396039604,0.941747572815534,0.9535723842654535
1095,37,svc,test,0.904,0.92,0.8518518518518519,0.8846153846153846,0.9415753781950965
1096,38,svc,train,0.924,0.9056603773584906,0.9142857142857143,0.909952606635071,0.9493924466338259
1097,38,svc,test,0.9354838709677419,0.9038461538461539,0.94,0.9215686274509804,0.9352702702702703
1098,39,svc,train,0.9236947791164659,0.89,0.9175257731958762,0.9035532994923858,0.9327523060227889
1099,39,svc,test,0.936,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9550952135872361
1100,40,svc,train,0.9397590361445783,0.9345794392523364,0.9259259259259259,0.9302325581395349,0.9539335434725505
1101,40,svc,test,0.912,0.86,0.9148936170212766,0.8865979381443299,0.9380796508456083
1102,41,svc,train,0.948,0.9509803921568627,0.9238095238095239,0.9371980676328502,0.9511001642036125
1103,41,svc,test,0.9032258064516129,0.8518518518518519,0.92,0.8846153846153846,0.9272972972972973
1104,42,svc,train,0.9196787148594378,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9345238095238095
1105,42,svc,test,0.952,0.9230769230769231,0.96,0.9411764705882353,0.9726666666666667
1106,43,svc,train,0.9397590361445783,0.9047619047619048,0.95,0.9268292682926829,0.9635234899328858
