fold_id,model_name,set,accuracy,precision,recall,f1
48,GaussianNB,test,0.912,0.8979591836734694,0.88,0.888888888888889
49,GaussianNB,train,0.9437751004016064,0.9306930693069309,0.9306930693069309,0.9306930693069309
49,GaussianNB,test,0.872,0.8166666666666667,0.9074074074074074,0.8596491228070176
50,GaussianNB,train,0.896,0.8545454545454545,0.903846153846154,0.8785046728971962
50,GaussianNB,test,0.967741935483871,0.9607843137254902,0.9607843137254902,0.9607843137254902
51,GaussianNB,train,0.9076305220883534,0.8796296296296297,0.9047619047619048,0.892018779342723
51,GaussianNB,test,0.944,0.9056603773584906,0.96,0.9320388349514565
52,GaussianNB,train,0.927710843373494,0.8942307692307693,0.93,0.911764705882353
52,GaussianNB,test,0.88,0.8846153846153846,0.8363636363636363,0.8598130841121494
53,GaussianNB,train,0.92,0.897196261682243,0.9142857142857144,0.9056603773584906
53,GaussianNB,test,0.9193548387096774,0.8703703703703703,0.94,0.903846153846154
54,GaussianNB,train,0.9116465863453816,0.8878504672897196,0.9047619047619048,0.8962264150943396
54,GaussianNB,test,0.936,0.8888888888888888,0.96,0.923076923076923
55,GaussianNB,train,0.9437751004016064,0.9158878504672896,0.9514563106796116,0.9333333333333336
55,GaussianNB,test,0.872,0.8333333333333334,0.8653846153846154,0.8490566037735849
56,GaussianNB,train,0.904,0.8611111111111112,0.9117647058823528,0.8857142857142858
56,GaussianNB,test,0.9516129032258064,0.9433962264150944,0.9433962264150944,0.9433962264150944
57,GaussianNB,train,0.8995983935742972,0.8627450980392157,0.8888888888888888,0.8756218905472637
57,GaussianNB,test,0.944,0.9298245614035088,0.9464285714285714,0.9380530973451328
58,GaussianNB,train,0.9397590361445785,0.9181818181818182,0.9439252336448598,0.9308755760368664
58,GaussianNB,test,0.88,0.8235294117647058,0.875,0.8484848484848485
59,GaussianNB,train,0.92,0.8818181818181818,0.9326923076923076,0.9065420560747663
59,GaussianNB,test,0.9193548387096774,0.9019607843137256,0.9019607843137256,0.9019607843137256
60,GaussianNB,train,0.927710843373494,0.897196261682243,0.9320388349514565,0.9142857142857144
60,GaussianNB,test,0.888,0.8653846153846154,0.8653846153846154,0.8653846153846154
61,GaussianNB,train,0.9116465863453816,0.87,0.90625,0.8877551020408163
61,GaussianNB,test,0.936,0.918032786885246,0.9491525423728814,0.9333333333333332
62,GaussianNB,train,0.916,0.8947368421052632,0.918918918918919,0.9066666666666668
62,GaussianNB,test,0.9274193548387096,0.8723404255319149,0.9318181818181818,0.9010989010989012
63,GaussianNB,train,0.9076305220883534,0.8640776699029126,0.9081632653061223,0.8855721393034826
63,GaussianNB,test,0.928,0.9285714285714286,0.912280701754386,0.9203539823008848
